target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_aDLminpA_fut_001,500,5,0.01,6613.046533203125,0.7926678895950318
LBL_aDLminpA_fut_001,500,5,0.001,18055.9671875,0.457574737071991
LBL_aDLminpA_fut_001,1000,1,0.1,6903.964892578125,0.7838004350662231
LBL_aDLminpA_fut_001,1000,1,0.01,6151.689599609375,0.8068843364715577
LBL_aDLminpA_fut_001,1000,1,0.001,14121.8494140625,0.5755147457122802
LBL_aDLminpA_fut_001,1000,2,0.1,6923.224072265625,0.7828407168388367
LBL_aDLminpA_fut_001,1000,2,0.01,6469.472265625,0.7967059135437011
LBL_aDLminpA_fut_001,1000,2,0.001,11614.475,0.6484116196632386
LBL_aDLminpA_fut_001,1000,3,0.1,6377.983544921875,0.8002311706542968
LBL_aDLminpA_fut_001,1000,3,0.01,6466.143212890625,0.7974890351295472
LBL_aDLminpA_fut_001,1000,3,0.001,11397.271484375,0.6544829964637756
LBL_aDLminpA_fut_001,1000,5,0.1,6740.096435546875,0.7879859924316406
LBL_aDLminpA_fut_001,1000,5,0.01,6599.023681640625,0.7929886937141418
LBL_aDLminpA_fut_001,1000,5,0.001,11689.3576171875,0.6457805752754211
LBL_aDLminpA_fut_001,3000,1,0.1,7375.103955078125,0.7695700883865356
LBL_aDLminpA_fut_001,3000,1,0.01,6351.6302734375,0.8008291602134705
LBL_aDLminpA_fut_001,3000,1,0.001,7716.7275390625,0.7612435698509217
LBL_aDLminpA_fut_001,3000,2,0.1,6925.952734375,0.7827354311943054
LBL_aDLminpA_fut_001,3000,2,0.01,6919.94951171875,0.7828769207000732
LBL_aDLminpA_fut_001,3000,2,0.001,6575.401220703125,0.7945552825927734
LBL_aDLminpA_fut_001,3000,3,0.1,6378.1470703125,0.8002258896827698
LBL_aDLminpA_fut_001,3000,3,0.01,6581.851904296875,0.7938409924507142
LBL_aDLminpA_fut_001,3000,3,0.001,6410.412109375,0.8000577807426452
LBL_aDLminpA_fut_001,3000,5,0.1,6740.096435546875,0.7879859924316406
LBL_aDLminpA_fut_001,3000,5,0.01,6596.868408203125,0.7930419087409973
LBL_aDLminpA_fut_001,3000,5,0.001,6887.056005859375,0.7849278092384339
LBL_aCOminpA_fut_001,10,1,0.1,8640.62568359375,0.676028823852539
LBL_aCOminpA_fut_001,10,1,0.01,23996.224609375,0.10397895574569702
LBL_aCOminpA_fut_001,10,1,0.001,27364.183984375,-0.021289300918579102
LBL_aCOminpA_fut_001,10,2,0.1,6034.837109375,0.7731942892074585
LBL_aCOminpA_fut_001,10,2,0.01,23369.446875,0.12741421461105346
LBL_aCOminpA_fut_001,10,2,0.001,27296.5515625,-0.018765783309936522
LBL_aCOminpA_fut_001,10,3,0.1,5308.061328125,0.8005305290222168
LBL_aCOminpA_fut_001,10,3,0.01,23244.286328125,0.13210350275039673
LBL_aCOminpA_fut_001,10,3,0.001,27283.641796875,-0.018276309967041014
LBL_aCOminpA_fut_001,10,5,0.1,5215.8578125,0.8027715682983398
LBL_aCOminpA_fut_001,10,5,0.01,23205.4171875,0.1335557818412781
LBL_aCOminpA_fut_001,10,5,0.001,27278.942578125,-0.018104255199432373
LBL_aCOminpA_fut_001,50,1,0.1,2390.26171875,0.9086451768875122
LBL_aCOminpA_fut_001,50,1,0.01,14626.9138671875,0.45230438709259035
LBL_aCOminpA_fut_001,50,1,0.001,25800.625390625,0.03687411546707153
LBL_aCOminpA_fut_001,50,2,0.1,1908.014990234375,0.9259587287902832
LBL_aCOminpA_fut_001,50,2,0.01,12267.102734375,0.5410622119903564
LBL_aCOminpA_fut_001,50,2,0.001,25474.158984375,0.049057626724243165
LBL_aCOminpA_fut_001,50,3,0.1,1633.1192504882813,0.936723530292511
LBL_aCOminpA_fut_001,50,3,0.01,11772.047265625,0.5594672679901123
LBL_aCOminpA_fut_001,50,3,0.001,25411.495703125,0.051435434818267824
LBL_aCOminpA_fut_001,50,5,0.1,1758.7639892578125,0.9308167219161987
LBL_aCOminpA_fut_001,50,5,0.01,11699.4724609375,0.5617408514022827
LBL_aCOminpA_fut_001,50,5,0.001,25388.44140625,0.05228980779647827
LBL_aCOminpA_fut_001,100,1,0.1,2276.9101318359376,0.9123720526695251
LBL_aCOminpA_fut_001,100,1,0.01,8980.62216796875,0.6633765578269959
LBL_aCOminpA_fut_001,100,1,0.001,24011.363671875,0.10341585874557495
LBL_aCOminpA_fut_001,100,2,0.1,1854.11083984375,0.9276259064674377
LBL_aCOminpA_fut_001,100,2,0.01,6313.26552734375,0.7626335859298706
