n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
500,10,0.001,one_output_per_tree,0.6812741645242476,0.5517512844757152,0.6419495455768319,0.3236170718905024,0.43538157667275196,0.38816430913521743
1000,1,0.1,multi_output_tree,0.4724149811202921,0.32466908346229634,0.32828018673984366,0.5161492990848139,0.6691235716050029,0.7077478696686483
1000,1,0.1,one_output_per_tree,0.47432002358044584,0.34209245993732973,0.3224787920897268,0.5146778524281779,0.6511238646370554,0.7080623751895663
1000,1,0.01,multi_output_tree,0.5232458373519809,0.372480924141573,0.3616101529134136,0.4729215503583159,0.6201300947991043,0.6759686809669619
1000,1,0.01,one_output_per_tree,0.4846229219690841,0.3363973893456825,0.3369223287768085,0.5132233636103354,0.6561185759171824,0.7019179005154601
1000,1,0.001,multi_output_tree,0.7805014038306106,0.6794808321607079,0.7244786489404189,0.21552693663691813,0.30697574951543727,0.28487743633823015
1000,1,0.001,one_output_per_tree,0.7066941001485506,0.5508756604711509,0.5586942090372753,0.29218045701397666,0.4362600216031101,0.4579405903033414
1000,2,0.1,multi_output_tree,0.4914143262582485,0.3142211379581759,0.3487669782419539,0.4828732160496709,0.6790520402366587,0.6851147542531268
1000,2,0.1,one_output_per_tree,0.5538862883688538,0.32975805313089734,0.3433377532488061,0.4227998192754202,0.6627763436338412,0.6684892859568394
1000,2,0.01,multi_output_tree,0.4371768506811994,0.32002424991257233,0.33883681653267916,0.5518907140323612,0.6732802231262879,0.7045341806001141
1000,2,0.01,one_output_per_tree,0.4940054305687981,0.2969216412278277,0.3208918256754168,0.5024076969349218,0.6965417653692666,0.7099869932200205
1000,2,0.001,multi_output_tree,0.6869588381817392,0.5419935507562343,0.5458541730784219,0.31016953309714923,0.4460154087658035,0.48856770844534514
1000,2,0.001,one_output_per_tree,0.6330804973809839,0.4801037512658807,0.4732430207399735,0.3687999452014932,0.5091718249416382,0.5518179626143717
1000,3,0.1,multi_output_tree,0.4880711849229148,0.3031247205743048,0.34446013249585394,0.4889174957947303,0.690364170588285,0.6942321001293366
1000,3,0.1,one_output_per_tree,0.5006701562021847,0.2963700266085106,0.3417236370085027,0.4834892229091571,0.6976691251106619,0.6959313462573261
1000,3,0.01,multi_output_tree,0.46046445954269916,0.3039262391361729,0.3334431434059927,0.5299903375820346,0.689601755845658,0.7080485894013255
1000,3,0.01,one_output_per_tree,0.46638931938393613,0.29054096672789387,0.34057011330141884,0.5294141812984571,0.7036764966292655,0.7028022621903739
1000,3,0.001,multi_output_tree,0.6287652843688664,0.5120568436115942,0.5002305839649974,0.3680241482955201,0.47675882293475846,0.5382090423366058
1000,3,0.001,one_output_per_tree,0.5808232108002996,0.4484537192096859,0.47300612578363,0.4213959026863641,0.5414556209215929,0.5660932115710433
1000,5,0.1,multi_output_tree,0.4923938208157227,0.2994486150789205,0.33434735305238494,0.493106441555019,0.6954078075347708,0.7117332688251607
1000,5,0.1,one_output_per_tree,0.4670536890412868,0.2724271181678677,0.3298976610633598,0.5271924236096325,0.7214271309715397,0.7038254768998877
1000,5,0.01,multi_output_tree,0.47661768406740085,0.2831259173930362,0.3295257468323666,0.5141382038318821,0.7119377080073165,0.7192261233273307
1000,5,0.01,one_output_per_tree,0.45233666769209313,0.27790533580387927,0.32405985341119026,0.5440251367386917,0.7162263353557851,0.7162467523866732
1000,5,0.001,multi_output_tree,0.5903852322110547,0.46753950303608766,0.5011231723395004,0.4095959758198157,0.5232484634094691,0.5493631776102588
1000,5,0.001,one_output_per_tree,0.551542072790177,0.3865971636487715,0.4598332660612692,0.4525251373269238,0.6040594094233993,0.5840161439363705
1000,10,0.1,multi_output_tree,0.5281279991844667,0.34317692651083787,0.3986745045508171,0.4515009390748526,0.653393196727212,0.647417041225629
1000,10,0.1,one_output_per_tree,0.5482789927840047,0.27751482018239393,0.3884900737285183,0.4363971204059614,0.716193842656823,0.65024785678957
1000,10,0.01,multi_output_tree,0.5268815494920343,0.3473810237481775,0.39213696354559835,0.4538952399405393,0.6483052239946924,0.6523714199602886
1000,10,0.01,one_output_per_tree,0.5585727584214191,0.27444039047177304,0.36848973566321497,0.42713281746498877,0.7195433536460429,0.6723267533452602
1000,10,0.001,multi_output_tree,0.6057967719757975,0.46397105835689423,0.5227604465738317,0.39250556741155884,0.5257079687662047,0.5337247976827616
1000,10,0.001,one_output_per_tree,0.576228173808947,0.3846927202455871,0.4771054948858852,0.4275740334736035,0.6053655709079673,0.5671803182698112
3000,1,0.1,multi_output_tree,0.49642040351383354,0.3481780515362818,0.3359000864383378,0.4892523459298297,0.6447949077834301,0.7006533801502629
3000,1,0.1,one_output_per_tree,0.5034498904510292,0.3764026895062148,0.32103257540395136,0.4809636115827822,0.6158838314386228,0.7081064499866881
3000,1,0.01,multi_output_tree,0.47960321860475963,0.3257909153408708,0.3306161614979838,0.5142513329415761,0.6679884442722799,0.7070992236098356
3000,1,0.01,one_output_per_tree,0.4749036926526434,0.3245109188934919,0.3289057538202957,0.517991246064298,0.6688705875206411,0.7072522728390578
3000,1,0.001,multi_output_tree,0.6548505807743872,0.5125431865776701,0.48422167777753417,0.33760761574993065,0.4761340858956542,0.5441850081848357
3000,1,0.001,one_output_per_tree,0.5574341065676518,0.40365772323892646,0.39515153568082095,0.44243562239914613,0.5868779725528525,0.6367674045641044
3000,2,0.1,multi_output_tree,0.5248429581160472,0.3265547945471245,0.3535788347075596,0.44314652291121914,0.6664967447096066,0.6790777597682416
3000,2,0.1,one_output_per_tree,0.5701359034025844,0.347381933928571,0.34612601206600274,0.40316817276910405,0.6453491078128524,0.666421263832925
3000,2,0.01,multi_output_tree,0.4453113995018921,0.3024779339823026,0.3326122854591721,0.5378940443247882,0.6917361319337252,0.7074337132682257
3000,2,0.01,one_output_per_tree,0.5083813988829377,0.2981507677913855,0.34101600301882035,0.478115769279161,0.6952309214313495,0.679656930971186
3000,2,0.001,multi_output_tree,0.5038443369522853,0.4094874237162829,0.392827022338082,0.4895284261470067,0.5820543489564904,0.6516796958474828
3000,2,0.001,one_output_per_tree,0.503373795495485,0.3410683532745189,0.337502780546741,0.4969155262371567,0.6508515902165024,0.6990750786678331
3000,3,0.1,multi_output_tree,0.49265306925352537,0.3072176431556115,0.34515833563071674,0.4837222898804104,0.6861612151827348,0.6931816892212117
3000,3,0.1,one_output_per_tree,0.5010939704005549,0.2967074107016156,0.34187096141340295,0.48277639033454234,0.6973391951502755,0.6957111620243644
3000,3,0.01,multi_output_tree,0.4732633488662092,0.2929888376560889,0.34034656774101685,0.5088425104546273,0.700927916974574,0.703784797572203
3000,3,0.01,one_output_per_tree,0.4898645520496411,0.2935865823167297,0.3387739456984684,0.4976276983936844,0.7007596892626107,0.7033732567167332
3000,3,0.001,multi_output_tree,0.4800720715878943,0.36687928079726806,0.3591519794532757,0.513354023338627,0.6253804011478595,0.6869168693057656
3000,3,0.001,one_output_per_tree,0.4762364527524978,0.3141749115738146,0.3427065835516459,0.5225628163662384,0.6789913299625542,0.7028512678233017
3000,5,0.1,multi_output_tree,0.4923938067760466,0.2994485639104575,0.3343473578196507,0.4931064579049142,0.6954078619265841,0.7117332670295288
3000,5,0.1,one_output_per_tree,0.46705368840311773,0.27242710391009334,0.32989765503205587,0.52719242404669,0.7214271448019216,0.7038254864615565
3000,5,0.01,multi_output_tree,0.4774097237867184,0.28206157896721495,0.32899651402893626,0.5109036655836057,0.7130728602505801,0.719699362504943
3000,5,0.01,one_output_per_tree,0.4550790903523524,0.2817209001632464,0.3255831761296976,0.5401483778749878,0.7121992359737437,0.7135634926615202
3000,5,0.001,multi_output_tree,0.4948409746879395,0.3194183968079198,0.34858734062553787,0.5018026278581166,0.6756490072067132,0.7027825619026965
3000,5,0.001,one_output_per_tree,0.46912136362477436,0.2763432500808951,0.32131073358380485,0.5301299412637395,0.7175361499841617,0.7233296305963799
3000,10,0.1,multi_output_tree,0.5281279953161163,0.3431769385422969,0.3986745046924795,0.45150094229286336,0.6533931819510164,0.6474170425560105
3000,10,0.1,one_output_per_tree,0.5482789961542337,0.2775147856061658,0.388490063694258,0.43639711692902095,0.7161938797719481,0.6502478650865025
3000,10,0.01,multi_output_tree,0.5264666725949672,0.3473365828830594,0.39244159449202487,0.4541690947133564,0.6483470231652684,0.651954900245259
3000,10,0.01,one_output_per_tree,0.5587474918715825,0.274649691432822,0.3686056973885684,0.42686196452176484,0.719340876361802,0.672170914281673
3000,10,0.001,multi_output_tree,0.5352236793298837,0.35033532232373094,0.3926643732428497,0.45256853897634974,0.6442682259212514,0.6554095795753929
3000,10,0.001,one_output_per_tree,0.5597520804224467,0.2800491228406788,0.3611207591636359,0.4288291913740319,0.7131410503984925,0.6840457408641731
